# TESS Program G04209

Title: Transiting Planets In Binaries Containing White Dwarfs

PI: Martin, David - Ohio State University

Type: SMALL

Summary: Exoplanet searches have typically focused on main sequence stars. Direct imaging has probed young planets, but what about the other extreme: planets around highly evolved stars? Only one planet has been found transiting a white dwarf. Searches have avoided binary stars due to fear of a diluted signal. However, secular interactions with a binary companion may be the only way of obtaining a short period planet around a white dwarf. We have carefully constructed a sample of white dwarfs in binaries, for which we have a planet-finding sensitivity on either the white dwarf or its main sequence companion. We predict roughly 5 discoveries in 3500 binaries. Any individual discovery with bear significance, and we will interpret our results in the context of planetary dynamics and stellar evolution.


# Sector 041 targets observed (2 min: 883, 20 s: 45)
1718047913,282.5647,64.6125,19.72,G04209
1718100005,284.5249,66.0527,19.55,G04209
1718124396,287.7035,67.8517,20.12,G04209
1718124530,287.4203,67.9103,18.97,G04209
1718127190,286.5418,68.2038,19.31,G04209
1718145826,280.0744,67.5473,19.72,G04209
1718195079,288.4461,71.4978,19.56,G04209
1718214453,287.598,73.0506,19.74,G04209
1718225859,282.5689,69.76,16.8,G04209;G04177
1718249175,285.0258,73.0471,17.74,G04200;G04209
1718261327,286.2039,74.0522,19.5,G04209
1718274892,280.9453,75.8785,19.39,G04209
1884374242,297.6658,69.0049,17.65,G04200;G04209
1884422766,290.657,68.0667,18.26,G04209
1884436924,294.1107,69.7516,19.63,G04209
1884456019,296.726,70.6832,18.98,G04209
1884475144,297.2149,72.0876,19.73,G04209
1884479359,297.6078,72.4035,19.2,G04209
1884493461,290.7038,71.6293,17.0,G04137;G04209
1884504065,294.0566,73.5852,18.53,G04209
1884546500,292.3995,76.3326,20.03,G04209
219104933,270.8972,71.5047,10.55,G04209
229585101,270.7807,72.493,12.5,G04209
229589610,272.2817,72.6385,12.87,G04209
229596329,273.1286,75.1764,8.49,G04133;G04103;G04209
229615443,278.019,73.9197,15.24,G04209
229650743,280.946,75.8773,11.55,G04209
229700825,277.158,70.5768,14.63,G04209
229702109,277.364,69.6429,11.79,G04209
229705541,277.6645,70.3907,11.96,G04209
229745238,280.0857,67.5535,15.03,G04209
229770890,282.175,68.8783,17.12,G04137;G04200;G04209
229770891,282.2016,68.8776,9.11,G04051;G04209;G04191
229774285,282.5694,69.759,9.42,G04209
229794879,284.5286,66.0512,12.03,G04209
233096303,273.1768,65.9705,13.47,G04209
233576835,282.5665,64.6118,15.19,G04209
233690034,275.3788,65.4372,14.91,G04209
235683885,287.5925,73.0516,12.21,G04209
237199166,292.4043,76.3318,12.91,G04209
237208287,294.0768,73.5856,13.03,G04209
237229919,297.2141,72.0891,14.95,G04209
237235511,297.596,72.4055,13.07,G04209
256298838,276.4322,69.1762,13.64,G04209
258389662,296.7254,70.6826,15.01,G04209;G04036;20SECONDTARGET
258775327,286.5389,68.2032,14.73,G04209;G04178
258827801,287.4225,67.9093,10.31,G04123;G04209;G04106
258830072,287.7024,67.85,14.21,G04209
258875310,288.4498,71.4955,15.3,G04209;G04178
259037799,290.6751,68.0699,12.96,G04209
259039631,290.7,71.6292,13.93,G04209;G04178
259265805,293.3196,68.6742,19.94,G04209
259265806,293.3189,68.6725,14.68,G04209
280034701,297.6383,69.0061,13.15,G04209;G04178
341873878,275.2051,74.8948,10.56,G04178;G04209
341873883,275.1554,74.9009,16.62,G04137;G04200;G04209;G04036;20SECONDTARGET
362256637,286.2203,74.0496,13.16,G04209
376870295,283.5008,74.4254,16.77,G04137;G04209;G04036;20SECONDTARGET
376870296,283.4964,74.4238,15.3,G04209;G04178
402448314,294.1138,69.7503,10.64,G04209
420108808,285.0472,73.0518,16.08,G04209
422827966,270.0521,75.7877,11.56,G04178;G04209
441766860,261.4777,72.9795,14.2,G04219;G04178;G04209
1001561181,219.1565,75.792,20.3,G04209
1001652432,213.5316,83.2734,17.86,G04200;G04209;G04177
1102607203,228.6407,75.4017,19.67,G04209
1102609055,230.0048,75.871,19.16,G04209
1102617332,223.5976,76.1676,17.33,G04137;G04200;G04209
1102617333,223.6222,76.1689,19.54,G04209
1102634239,234.6064,75.9428,18.07,G04209
1102636535,237.437,76.6573,19.79,G04209
1102642371,235.4579,77.8133,18.66,G04209
1102647493,229.621,77.9489,19.66,G04209
1102649555,233.7079,78.461,19.23,G04209
1102650288,228.7771,77.9993,17.5,G04137;G04209
1102671807,221.7533,79.6108,18.94,G04209
1102674981,224.3441,80.4833,18.15,G04209
1102681050,236.1304,81.6949,18.58,G04209
1102693710,231.4078,82.9792,18.77,G04209
