# TESS Program G04103

Title: A Survey Of Oscillations And Granulation In Evolved Solar-Type Stars

PI: Huber, Daniel - University Of Hawaii (Manoa)

Type: LARGE

Summary: Brightness variations in high-precision light curves encode powerful information about fundamental properties and convective processes in solar-type stars through oscillations and granulation. However, the current sample of stars with detected oscillations and granulation is focused on the Kepler field, and prime mission TESS data do not provide sufficient time coverage to make precise measurements. Here we propose 2-minute cadence observations to measure oscillations and granulation in evolved solar-type stars, which will enable us to (i) probe the efficiency of convective driving and damping of oscillations, (ii) test stellar models by constraining convective properties such as mixing length parameter and (iii) calibrate granulation metrics for TESS stars.


# Sector 040 targets observed (2 min: 3486, 20 s: 3)
24114966,276.8842,34.7074,8.51,G04219;G04209;G04103
24116542,276.8193,33.266,9.6,G04103
24202937,277.0878,30.9575,9.78,G04103
24258773,277.4798,34.0306,10.31,G04103
24259730,277.4388,33.1407,8.86,G04103
24321893,277.5611,33.3664,8.09,G04103
24323078,277.568,34.4316,9.14,G04103
258342031,271.0134,32.4102,10.11,G04103
258343679,270.9722,30.3756,6.29,G04103
258347077,271.0687,33.5488,9.36,G04103
258400328,274.4395,25.5857,9.94,G04103
258478334,274.616,27.1357,8.81,G04103
27656696,278.0468,34.5948,11.31,G04103
27698472,278.2553,31.5952,8.76,G04103
27703656,278.4212,35.5861,9.56,G04103
27794271,278.5582,32.826,10.43,G04103
27852824,278.6339,31.7296,8.23,G04123;G04106;G04103
27856153,278.9466,35.0587,9.93,G04103
27892916,278.911,32.4843,9.37,G04103
28068681,279.4624,35.2474,10.24,G04103
28071004,279.5868,33.305,8.05,G04103
28124233,279.6685,33.8469,8.99,G04103
284274530,276.2945,26.7264,8.87,G04103
285054305,268.5336,29.8124,8.67,G04103
285056387,268.5209,27.3418,7.68,G04103
288540842,274.7345,36.5535,9.2,G04103
288618758,275.5374,36.3014,7.12,G04103
288620082,275.6038,36.9006,7.46,G04103
288878365,276.5394,37.4127,11.76,G04103
289085837,277.2923,36.9887,9.49,G04103
289161064,277.4263,37.1634,10.66,G04103
289322123,278.004,37.3301,10.79,G04103
289525318,278.5854,37.8918,10.54,G04103
289573769,278.8302,37.2038,9.76,G04103
308408029,268.3018,29.4863,8.19,G04103
313809165,272.8137,34.8506,8.63,G04103
313815911,272.9402,25.3779,8.25,G04103
313993524,273.2475,28.2583,7.56,G04103
316773508,276.9822,34.0229,10.99,G04103
317292690,280.3528,28.258,8.64,G04103
317374299,280.5543,26.6438,10.02,G04103
317629977,281.0542,29.269,11.14,G04103
320528206,269.009,27.9237,9.44,G04103
320587829,270.9758,26.6509,6.49,G04103
320797953,271.4953,25.6833,7.97,G04103
320802690,271.6011,29.205,9.6,G04103
320931250,271.957,27.6787,9.91,G04103
320956940,272.0322,27.2963,9.73,G04103
321918244,276.6775,31.6665,9.13,G04103
321921201,276.7675,34.1382,10.33,G04103
321921938,276.7299,34.8103,9.4,G04103
321923142,278.183,29.9643,10.95,G04103
322703813,279.2243,26.4119,10.77,G04103
322963516,279.6874,29.8374,9.88,G04103
322965701,279.7943,28.6049,9.63,G04103
332691567,272.3084,27.6883,10.84,G04103
336555792,281.4801,27.811,9.16,G04103
336761090,281.7081,26.7212,8.17,G04103
377723489,278.8392,30.3143,10.71,G04103
423074215,272.7386,27.7668,9.7,G04103
423174642,275.023,25.6331,10.43,G04103
423303944,277.4618,25.9845,9.11,G04103
424522708,277.23,26.1387,9.74,G04103
424607753,277.6719,29.4429,9.61,G04103
68150528,279.8081,32.7003,9.03,G04103
68338815,280.1806,32.7049,9.33,G04103
68347453,280.3967,33.0533,9.08,G04103
68349263,280.3922,34.4132,10.11,G04103
68395566,280.49,32.3322,10.02,G04103
68481612,280.5932,32.173,11.05,G04103
68482440,280.7106,32.7435,10.6,G04103
68552876,280.9647,31.9259,5.34,G04103
68630827,281.0141,31.3818,8.89,G04103
68633131,281.1187,29.8973,11.32,G04103
68633641,281.2419,30.2124,9.31,G04103
72767374,270.8121,34.994,9.12,G04103
75830660,271.5582,36.5594,9.99,G04103
75876510,271.9122,36.6786,9.69,G04103
76042076,272.752,36.6501,8.46,G04103
84663177,273.4785,26.7562,7.71,G04103
84667204,273.6834,29.2059,5.95,G04103
84788948,273.9084,27.1888,8.03,G04103
85059489,275.344,29.2122,9.54,G04103
85165398,275.6135,27.4488,9.88,G04103
85166892,275.6826,28.7302,10.58,G04103
85169521,275.6939,29.1617,9.37,G04103
135355477,271.0854,18.7975,8.73,G04103
135362677,271.1676,23.9416,6.03,G04123;G04106;G04103
135419364,271.314,19.7467,9.46,G04103
135421830,271.2479,21.4421,7.87,G04103
135443051,271.457,21.4456,6.48,G04103
149099911,278.9067,15.508,9.43,G04103
149235282,278.9723,16.9749,6.4,G04103
14969695,279.876,16.9179,9.37,G04103
150180922,272.1179,15.6784,9.06,G04103
150844152,279.3024,14.5828,8.68,G04103
150858186,279.323,17.5677,11.17,G04103
15542245,280.3562,17.791,10.73,G04103
15619845,280.34,14.984,9.4,G04103
156824336,275.4597,15.625,7.29,G04103
157098919,275.8345,15.822,8.61,G04103
157155021,275.9469,14.9073,7.24,G04103
157296442,274.6524,17.0028,7.32,G04103
157554510,274.9555,17.2039,7.89,G04103
157561304,275.1421,15.4268,8.0,G04103
158081859,273.8544,19.7704,7.88,G04103
158178832,274.1514,20.5905,10.16,G04103
158305758,274.4047,20.0413,9.48,G04103
158415140,274.6343,18.3803,7.36,G04103
166209802,273.3151,16.2729,6.26,G04103
166269238,273.3974,13.1778,9.0,G04103
166275354,273.4828,13.4681,8.54,G04103
166451497,273.7801,16.7761,8.85,G04103
166454838,273.8305,17.1131,8.14,G04103
166455822,273.9359,16.5302,9.36,G04103
1684862669,274.3367,20.4077,11.0,G04103
224474520,282.2285,16.2571,7.56,G04103
224475226,282.2436,16.102,9.9,G04103
224484134,282.2327,14.1876,9.69,G04103
224542557,282.4572,14.81,8.25,G04103
230268743,271.9363,18.5892,9.14,G04103
230277972,272.0211,20.6599,9.21,G04103
235598824,272.6525,18.289,7.58,G04103
235606995,272.8154,23.7839,9.81,G04103
235610778,272.7908,20.8042,9.14,G04103
235659765,277.5645,18.0744,10.71,G04103
235666667,277.6737,20.8135,5.79,G04103
