# TESS Program G011113

Title: White Dwarf Variability In The Ecliptic South

PI: Hermes, JJ - University Of North Carolina

Type: Small

Summary: We propose observations with 2-min cadence of 815 known and high-probability white dwarfs in Cycle 1 of the TESS mission. Our primary objective is to search these white dwarfs for transits of remnant planetary systems; transits of Earth-sized white dwarfs are likely to be very deep but also very short, just a few minutes, requiring high-speed observations. Our proposed photometry will also enable asteroseismology of dozens of known and high-likelihood pulsating white dwarfs, continuing the space-based revolution into the interiors of stellar remnants. From both asteroseismology and spot modulation of magnetic white dwarfs we will significant expand the number of white dwarfs with measured rotation rates, putting strong constraints on the endpoints of angular momentum in stars.             


# Sector 001 targets observed (109)
33840009,64.9072,-73.0623,14.92,G011113;G011203
141976247,95.7195,-75.6776,15.66,G011113
287352377,122.3835,-72.9879,14.83,G011113;G011294
300159301,108.8191,-70.4182,14.38,G011113;G011294
300970893,118.284,-67.7921,13.3,G011113;G011294
391923441,106.9794,-74.641,15.2,G011113
150245754,94.1803,-64.9634,14.35,G011113;G011294
279510595,105.58,-58.8366,14.66,G011113;G011294
348841203,98.8744,-59.3335,15.96,G011113

# Sector 004 targets observed (91)
25062206,30.9641,-6.6516,14.86,G011113
251106994,38.5335,-5.1938,14.43,G011113
332968996,35.9999,-5.3634,15.22,G011113
408128553,35.1054,-7.6082,15.48,G011113
425079955,41.4724,-12.7059,14.73,G011113;G011203;G011288
4671860,38.4551,-7.2602,15.05,G011113
66605369,38.1581,-14.2013,15.1,G011113;G011294;G011203
94943641,39.3585,-12.3597,15.36,G011113;G011294;G011288
12529282,51.6669,-6.6018,15.89,G011113;G011294
12632044,53.1818,-8.9281,11.56,G011113
279048981,49.5556,-1.1199,14.77,G011113;G011294;G011288
279198715,51.2973,-1.8254,15.42,G011113;G011203
301408085,53.1534,-0.827,15.18,G011113;G011294;G011288
382378540,43.0651,-5.042,15.34,G011113;G011294;G011203
9885355,48.7344,-8.2548,15.7,G011113;G011294
328298989,46.1554,2.9487,15.18,G011113;G011294
365247111,39.6385,7.1358,16.47,G011113
365247218,39.6288,6.6333,15.41,G011113
365424515,48.1458,10.2074,15.97,G011113;G011294
387609758,44.999,8.1986,15.29,G011113
439869954,43.3852,-0.5626,15.14,G011113;G011294
439917321,46.53,-0.5206,14.52,G011113
445926930,49.4302,9.1654,15.25,G011113;G011294
293565926,28.5596,2.0233,14.95,G011113
422847044,36.9813,0.394,15.12,G011113
422888592,37.5697,5.264,13.06,G011113
422947065,38.782,3.7325,11.79,G011113;G011294;G011203
142960339,53.4645,-35.5278,12.92,G011113
178170316,43.103,-34.0295,15.85,G011113;G011288
88509155,47.8883,-27.3238,14.5,G011113;G011294;G011203
144538917,52.208,-27.3145,13.2,G011113
166874908,59.6597,-31.2773,10.16,G011113;G011154
166933518,60.276,-33.7335,16.13,G011113
168752540,62.8378,-32.4379,15.12,G011113;G011203
168792735,63.8358,-32.986,14.45,G011113;G011294
178271277,59.7705,-23.2068,15.48,G011113;G011294;G011203;G011288
