# TESS Program G06194

Title: A Survey Of Oscillations And Granulation In Subgiant Stars

PI: Chontos, Ashley - Princeton University

Type: SMALL

Summary: Brightness variations observed in high-precision light curves encode powerful information about fundamental properties and convection in subgiant stars through oscillations and granulation. However, the current sample of subgiants with measured oscillations and granulation is predominantly focused on the Kepler field, and prime mission TESS data do not provide sufficient time coverage to make precise measurements. Here we propose 2-minute cadence observations to perform a survey of oscillations and granulation in subgiant stars, which will enable us to (i) probe the efficiency of convective driving and damping of oscillations, (ii) test stellar models by constraining convective properties such as the mixing length parameter and (iii) calibrate granulation metrics for TESS stars.


# Sector 070 targets observed (2 min: 392, 20 s: 4)
91398300,29.0046,18.4449,7.84,G06194
97429443,33.1235,16.7002,7.62,G06194
257958103,31.6644,10.4774,7.23,G06194
258806323,39.5037,7.695,5.96,G06194
270344943,31.7149,2.5123,8.11,G06194
270464383,33.8248,1.8658,9.73,G06194
270465028,33.9469,1.6537,8.71,G06194
336981693,31.0008,8.0946,6.71,G06194
337009774,31.9064,8.8464,7.35,G06194
337046898,32.8369,8.5691,5.13,G06194
337076141,33.0065,6.6472,8.49,G06194
365247154,39.6713,6.9457,7.77,G06194
380958750,35.3422,8.8809,7.62,G06194
380965329,35.7362,8.5454,7.26,G06194
380987746,35.8607,6.6018,8.49,G06194
381024291,36.7732,6.5209,10.73,G06194
381110971,40.3751,9.3812,9.95,G06194
408834794,39.1599,12.4471,5.13,G06194
420031868,35.6878,4.9569,8.24,G06194
420032383,35.7297,2.351,9.04,G06194
422886430,37.5328,4.6046,7.68,G06194
422912866,38.1632,3.7385,7.78,G06194
422917742,38.6132,5.2463,8.32,G06194
118523995,68.9166,19.9685,6.74,G06194
18801705,73.1756,20.0005,8.83,G06194
245797635,67.4197,12.1755,7.78,G06194
245872346,68.9698,13.6004,9.49,G06194
293475647,76.4561,13.2854,7.14,G06194
293476182,76.4438,13.9521,8.77,G06194
293772333,77.3615,12.0026,9.12,G06194
373028242,66.9621,10.0208,7.81,G06194
373032040,67.7018,10.2709,10.02,G06194
373104570,68.1222,9.8955,9.38,G06194
389122513,74.9718,16.8294,8.54,G06194
399619275,72.3568,11.4939,8.85,G06194
399781217,73.8794,10.185,8.85,G06194
432549699,74.4054,17.3915,8.57,G06194
436564830,70.704,12.2083,6.77,G06194
436570953,70.8679,13.0354,8.26,G06194
436572106,71.0155,12.9916,7.16,G06194
436588012,71.4638,15.9303,8.67,G06120;G06194
436591693,71.5877,13.8386,9.25,G06194
436645102,72.3981,13.454,10.04,G06194
450059733,75.5004,10.3987,8.89,G06194
125915560,70.8074,24.0888,5.65,G06194
150053918,69.7793,28.8414,8.93,G06194
150131404,70.517,24.0107,6.74,G06194
171003651,67.5153,32.5117,7.24,G06194
171197784,68.1887,32.7248,8.26,G06120;G06194
239678629,65.0368,32.7037,9.57,G06194
268079980,67.0745,27.7807,7.27,G06194
268221148,67.5846,28.1322,5.87,G06194
268221892,67.5156,29.041,8.16,G06194;G06057
349172435,75.8566,25.7692,7.84,G06194
349249739,75.9674,24.972,6.67,G06194
349252970,76.0154,27.5375,8.83,G06194
349667325,67.2168,30.3613,5.89,G06194;G06057
366086016,75.5563,29.995,10.06,G06194
408561011,69.6866,32.6652,8.39,G06194
408599378,69.8105,31.7413,7.49,G06194
408645694,70.028,33.1338,8.02,G06194
408649750,70.0949,29.972,6.43,G06194
58467533,65.4953,28.3016,8.24,G06120;G06194
59964929,72.2371,28.781,8.34,G06194
60003219,72.2727,27.0112,7.54,G06194
60340042,73.342,24.1772,7.06,G06194
84994486,74.3887,29.7028,9.39,G06194
